States,Rainfall,Ground Water,Temperature,Soil type,Season,Crop
Madhya Pradesh,235.5,22,29,Alluvial,Kharif,Millet MH 1540 (86M64) (Hybrid)
Madhya Pradesh,235.5,22,29,Sandy,Kharif,Millet MH 1540 (86M64) (Hybrid)
Madhya Pradesh,235.5,22,26,Sandy,Kharif,Groundnut GPBD 5
Madhya Pradesh,235.5,22,20,Clayey,Rabi,Lentil Pant Lentil-8(Pant L-063)
Madhya Pradesh,235.5,22,20,Sandy,Rabi,Lentil Pant Lentil-8(Pant L-063)
Madhya Pradesh,235.5,22,27.5,Clayey,Kharif,Sugarcane Karan 6 (Co 0239)
Madhya Pradesh,235.5,22,27.5,Sandy,Kharif,Sugarcane Karan 6 (Co 0239)
Madhya Pradesh,235.5,22,28,Clayey,Kharif,Sugarcane Karan 5 (Co 0124)
Madhya Pradesh,235.5,22,28,Sandy,Kharif,Sugarcane Karan 5 (Co 0124)
Maharashtra,246,3.2,30,Alluvial,Kharif,Rice
Maharashtra,246,3.2,30,Clayey,Kharif,Rice
Maharashtra,246,3.2,22.5,Alluvial,All Season,Oilseed
Maharashtra,246,3.2,22.5,Black,All Season,Oilseed
Maharashtra,246,3.2,22.5,Clayey,All Season,Oilseed
Maharashtra,246,3.2,25,Alluvial,Kharif,Tea
Maharashtra,246,3.2,25.5,Latterite,Kharif,Tea
Maharashtra,246,3.2,30,Alluvial,Kharif,Jute
Maharashtra,246,3.2,30,Clayey,Kharif,Jute
Maharashtra,246,3.2,30,Sandy,Kharif,Jute
Maharashtra,246,3.2,28.5,Alluvial,Rabi,Banana
Maharashtra,246,3.2,28.5,Black,Rabi,Banana
Maharashtra,246,3.2,28.5,Clayey,Rabi,Banana
Maharashtra,246,3.2,30,Alluvial,Kharif,Paddy Chinsurah Rice (IET 19140)
Maharashtra,246,3.2,30,Clayey,Kharif,Paddy Chinsurah Rice (IET 19140)
Maharashtra,246,3.2,30.5,Alluvial,Kharif,Paddy (CNI 383-5-11)
Maharashtra,246,3.2,30.5,Clayey,Kharif,Paddy (CNI 383-5-11)
Maharashtra,246,3.2,23.5,Clayey,Kharif,Maize PMH 5 (JH 3110)
Maharashtra,246,3.2,23.5,Sandy,Kharif,Maize PMH 5 (JH 3110)
Maharashtra,246,3.2,27.5,Alluvial,Kharif,Millet Nandi-65 (MH-1549)
Maharashtra,246,3.2,27.5,Sandy,Kharif,Millet Nandi-65 (MH-1549)
Maharashtra,246,3.2,28,Sandy,Rabi,Sesame
Maharashtra,246,3.2,27.5,Alluvial,Rabi,Peas
Maharashtra,246,3.2,27.5,Sandy,Rabi,Peas
Maharashtra,246,3.2,27.5,Clayey,Rabi,Peas
Maharashtra,246,3.2,32,Alluvial,Kharif,Paddy CR Dhan 401 (REETA)
Maharashtra,246,3.2,32,Clayey,Kharif,Paddy CR Dhan 401 (REETA)
Maharashtra,246,3.2,32.5,Alluvial,Kharif,Paddy CR Dhan 601 (IET 18558)
Maharashtra,246,3.2,32.5,Clayey,Kharif,Paddy CR Dhan 601 (IET 18558)
Maharashtra,246,3.2,33,Alluvial,Kharif,Paddy CR Dhan 501 (IET 19189)
Maharashtra,246,3.2,33,Clayey,Kharif,Paddy CR Dhan 501 (IET 19189)
Maharashtra,246,3.2,33.5,Alluvial,Kharif,Paddy RC Maniphou 11 (IET 20193)
Maharashtra,246,3.2,33.5,Clayey,Kharif,Paddy RC Maniphou 11 (IET 20193)
Manipur,148.8,4,30,Black,Kharif,Bajra
Manipur,148.8,4,30.5,Sandy,Kharif,Bajra
Manipur,148.8,4,22.5,Alluvial,All Season,Oilseed
Manipur,148.8,4,22.5,Black,All Season,Oilseed
Manipur,148.8,4,22.5,Clayey,All Season,Oilseed
Manipur,148.8,4,30,Black,Kharif,Clove
Manipur,148.8,4,30.5,Clayey,Kharif,Clove
Manipur,148.8,4,30,Latterite,Kharif,Clove
Manipur,148.8,4,30,Black,Kharif,Urad
Manipur,148.8,4,30.5,Sandy,Kharif,Urad
Manipur,148.8,4,27,Black,Rabi,Horse Gram
Manipur,148.8,4,27,Clayey,Rabi,Horse Gram
Manipur,148.8,4,27,Red,Rabi,Horse Gram
Manipur,148.8,4,30,Black,Rabi,Black Gram
